SOURCE,PATHWAY,link
KEGG,Cholesterol metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Cholesterol metabolism
KEGG,Mineral absorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Mineral absorption
KEGG,Bile secretion,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Bile secretion
KEGG,Arrhythmogenic right ventricular cardiomyopathy,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Arrhythmogenic right ventricular cardiomyopathy
KEGG,Diabetic cardiomyopathy,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Diabetic cardiomyopathy
KEGG,Kaposi sarcoma-associated herpesvirus infection,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Kaposi sarcoma-associated herpesvirus infection
KEGG,Lipid and atherosclerosis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Lipid and atherosclerosis
KEGG,Viral myocarditis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Viral myocarditis
KEGG,Steroid biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Steroid biosynthesis
KEGG,Sphingolipid signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Sphingolipid signaling pathway
KEGG,Long-term depression,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Long-term depression
KEGG,Glycosphingolipid biosynthesis - lacto and neolacto series,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Glycosphingolipid biosynthesis - lacto and neolacto series
KEGG,Phospholipase D signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Phospholipase D signaling pathway
KEGG,Autoimmune thyroid disease,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Autoimmune thyroid disease
KEGG,NOD-like receptor signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=NOD-like receptor signaling pathway
KEGG,Cytosolic DNA-sensing pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Cytosolic DNA-sensing pathway
KEGG,"Alanine, aspartate and glutamate metabolism","https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Alanine, aspartate and glutamate metabolism"
KEGG,Proteoglycans in cancer,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Proteoglycans in cancer
KEGG,Riboflavin metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Riboflavin metabolism
KEGG,Chemical carcinogenesis - receptor activation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Chemical carcinogenesis - receptor activation
KEGG,Pathways in cancer,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Pathways in cancer
KEGG,Transcriptional misregulation in cancer,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Transcriptional misregulation in cancer
KEGG,Viral carcinogenesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Viral carcinogenesis
KEGG,Human papillomavirus infection,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Human papillomavirus infection
KEGG,Fatty acid elongation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Fatty acid elongation
KEGG,Human T-cell leukemia virus 1 infection,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Human T-cell leukemia virus 1 infection
KEGG,Hepatitis B,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Hepatitis B
KEGG,Hepatitis C,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Hepatitis C
KEGG,Vascular smooth muscle contraction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Vascular smooth muscle contraction
KEGG,Measles,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Measles
KEGG,Amyotrophic lateral sclerosis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Amyotrophic lateral sclerosis
KEGG,Spinocerebellar ataxia,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Spinocerebellar ataxia
KEGG,Huntington disease,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Huntington disease
KEGG,Retinol metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Retinol metabolism
KEGG,Tryptophan metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Tryptophan metabolism
KEGG,Hippo signaling pathway - multiple species,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Hippo signaling pathway - multiple species
KEGG,Epstein-Barr virus infection,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Epstein-Barr virus infection
KEGG,Alzheimer disease,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Alzheimer disease
KEGG,Parkinson disease,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Parkinson disease
KEGG,NF-kappa B signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=NF-kappa B signaling pathway
KEGG,Starch and sucrose metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Starch and sucrose metabolism
KEGG,cGMP-PKG signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=cGMP-PKG signaling pathway
KEGG,Endocytosis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Endocytosis
KEGG,Hippo signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Hippo signaling pathway
KEGG,Vasopressin-regulated water reabsorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Vasopressin-regulated water reabsorption
KEGG,Aldosterone-regulated sodium reabsorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Aldosterone-regulated sodium reabsorption
KEGG,Endocrine and other factor-regulated calcium reabsorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Endocrine and other factor-regulated calcium reabsorption
KEGG,Collecting duct acid secretion,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Collecting duct acid secretion
KEGG,Proximal tubule bicarbonate reclamation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Proximal tubule bicarbonate reclamation
KEGG,Influenza A,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Influenza A
KEGG,Fluid shear stress and atherosclerosis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Fluid shear stress and atherosclerosis
KEGG,Herpes simplex virus 1 infection,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Herpes simplex virus 1 infection
KEGG,Renin secretion,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Renin secretion
KEGG,JAK-STAT signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=JAK-STAT signaling pathway
KEGG,Pantothenate and CoA biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Pantothenate and CoA biosynthesis
KEGG,Insulin resistance,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Insulin resistance
KEGG,Fatty acid degradation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Fatty acid degradation
KEGG,Protein export,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Protein export
KEGG,Hepatocellular carcinoma,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Hepatocellular carcinoma
KEGG,Tight junction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Tight junction
KEGG,Basal transcription factors,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Basal transcription factors
KEGG,Serotonergic synapse,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Serotonergic synapse
KEGG,Fc epsilon RI signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Fc epsilon RI signaling pathway
KEGG,Human immunodeficiency virus 1 infection,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Human immunodeficiency virus 1 infection
