SOURCE,PATHWAY,link
ACSN2,NECROPTOSIS,https://www.google.com/search?q=ACSN2+pathway+NECROPTOSIS
ACSN2,NER,https://www.google.com/search?q=ACSN2+pathway+NER
ACSN2,NO_ROS_PRODUCTION,https://www.google.com/search?q=ACSN2+pathway+NO%20ROS%20PRODUCTION
ACSN2,OXIDATIVE_PHOSPHOYLATION_AND_TCA_CYCLE,https://www.google.com/search?q=ACSN2+pathway+OXIDATIVE%20PHOSPHOYLATION%20AND%20TCA%20CYCLE
ACSN2,PARTHANATOS,https://www.google.com/search?q=ACSN2+pathway+PARTHANATOS
ACSN2,PENTOSE_PHOSPHATE_PATHWAY,https://www.google.com/search?q=ACSN2+pathway+PENTOSE%20PHOSPHATE%20PATHWAY
ACSN2,PI3K_AKT_MTOR,https://www.google.com/search?q=ACSN2+pathway+PI3K%20AKT%20MTOR
ACSN2,PORPHYRIN_METABOLISM,https://www.google.com/search?q=ACSN2+pathway+PORPHYRIN%20METABOLISM
ACSN2,PYROPTOSIS,https://www.google.com/search?q=ACSN2+pathway+PYROPTOSIS
ACSN2,RCD_GENES,https://www.google.com/search?q=ACSN2+pathway+RCD%20GENES
ACSN2,RECRUITMENT_OF_IMMUNE_CELLS,https://www.google.com/search?q=ACSN2+pathway+RECRUITMENT%20OF%20IMMUNE%20CELLS
ACSN2,REPLICATION,https://www.google.com/search?q=ACSN2+pathway+REPLICATION
ACSN2,SENESCENCE,https://www.google.com/search?q=ACSN2+pathway+SENESCENCE
ACSN2,SMAC,https://www.google.com/search?q=ACSN2+pathway+SMAC
ACSN2,SSA,https://www.google.com/search?q=ACSN2+pathway+SSA
ACSN2,STARVATION_AUTOPHAGY,https://www.google.com/search?q=ACSN2+pathway+STARVATION%20AUTOPHAGY
ACSN2,S_CC_PHASE,https://www.google.com/search?q=ACSN2+pathway+S%20CC%20PHASE
ACSN2,S_PHASE_CHECKPOINT,https://www.google.com/search?q=ACSN2+pathway+S%20PHASE%20CHECKPOINT
ACSN2,TCR_SIGNALING,https://www.google.com/search?q=ACSN2+pathway+TCR%20SIGNALING
ACSN2,TELOMERASE,https://www.google.com/search?q=ACSN2+pathway+TELOMERASE
ACSN2,TIGHT_JUNCTIONS,https://www.google.com/search?q=ACSN2+pathway+TIGHT%20JUNCTIONS
ACSN2,TLS,https://www.google.com/search?q=ACSN2+pathway+TLS
ACSN2,TNF_RESPONSE,https://www.google.com/search?q=ACSN2+pathway+TNF%20RESPONSE
ACSN2,TRAIL_RESPONSE,https://www.google.com/search?q=ACSN2+pathway+TRAIL%20RESPONSE
ACSN2,TREG_MODULATORS,https://www.google.com/search?q=ACSN2+pathway+TREG%20MODULATORS
ACSN2,TUMOR_GROWTH,https://www.google.com/search?q=ACSN2+pathway+TUMOR%20GROWTH
ACSN2,WNT_CANONICAL,https://www.google.com/search?q=ACSN2+pathway+WNT%20CANONICAL
ACSN2,WNT_NON_CANONICAL,https://www.google.com/search?q=ACSN2+pathway+WNT%20NON%20CANONICAL
BioCarta,BIOCARTA_41BB_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_41BB_PATHWAY.html
BioCarta,BIOCARTA_ACE2_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ACE2_PATHWAY.html
BioCarta,BIOCARTA_ACETAMINOPHEN_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ACETAMINOPHEN_PATHWAY.html
BioCarta,BIOCARTA_ACH_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ACH_PATHWAY.html
BioCarta,BIOCARTA_ACTINY_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ACTINY_PATHWAY.html
BioCarta,BIOCARTA_AGPCR_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AGPCR_PATHWAY.html
BioCarta,BIOCARTA_AGR_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AGR_PATHWAY.html
BioCarta,BIOCARTA_AHSP_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AHSP_PATHWAY.html
BioCarta,BIOCARTA_AKAP13_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AKAP13_PATHWAY.html
BioCarta,BIOCARTA_AKAP95_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AKAP95_PATHWAY.html
BioCarta,BIOCARTA_AKAPCENTROSOME_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AKAPCENTROSOME_PATHWAY.html
BioCarta,BIOCARTA_AKT_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AKT_PATHWAY.html
BioCarta,BIOCARTA_ALK_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ALK_PATHWAY.html
BioCarta,BIOCARTA_ALTERNATIVE_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ALTERNATIVE_PATHWAY.html
BioCarta,BIOCARTA_AMAN_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AMAN_PATHWAY.html
BioCarta,BIOCARTA_AMI_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AMI_PATHWAY.html
BioCarta,BIOCARTA_ARAP_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ARAP_PATHWAY.html
BioCarta,BIOCARTA_ARENRF2_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ARENRF2_PATHWAY.html
BioCarta,BIOCARTA_ARF_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ARF_PATHWAY.html
BioCarta,BIOCARTA_ASBCELL_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ASBCELL_PATHWAY.html
BioCarta,BIOCARTA_AT1R_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_AT1R_PATHWAY.html
BioCarta,BIOCARTA_ATM_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ATM_PATHWAY.html
BioCarta,BIOCARTA_ATRBRCA_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ATRBRCA_PATHWAY.html
BioCarta,BIOCARTA_BAD_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BAD_PATHWAY.html
BioCarta,BIOCARTA_BARD1_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BARD1_PATHWAY.html
BioCarta,BIOCARTA_BARRESTIN_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BARRESTIN_PATHWAY.html
BioCarta,BIOCARTA_BARRESTIN_SRC_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BARRESTIN_SRC_PATHWAY.html
BioCarta,BIOCARTA_BARR_MAPK_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BARR_MAPK_PATHWAY.html
BioCarta,BIOCARTA_BBCELL_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BBCELL_PATHWAY.html
BioCarta,BIOCARTA_BCELLSURVIVAL_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BCELLSURVIVAL_PATHWAY.html
BioCarta,BIOCARTA_BCR_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BCR_PATHWAY.html
BioCarta,BIOCARTA_BIOPEPTIDES_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BIOPEPTIDES_PATHWAY.html
BioCarta,BIOCARTA_BLYMPHOCYTE_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BLYMPHOCYTE_PATHWAY.html
BioCarta,BIOCARTA_BOTULIN_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BOTULIN_PATHWAY.html
BioCarta,BIOCARTA_BTG2_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BTG2_PATHWAY.html
BioCarta,BIOCARTA_CACAM_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CACAM_PATHWAY.html
BioCarta,BIOCARTA_CALCINEURIN_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CALCINEURIN_PATHWAY.html
BioCarta,BIOCARTA_CARDIACEGF_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CARDIACEGF_PATHWAY.html
BioCarta,BIOCARTA_CARM1_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CARM1_PATHWAY.html
BioCarta,BIOCARTA_CARM_ER_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CARM_ER_PATHWAY.html
BioCarta,BIOCARTA_CASPASE_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CASPASE_PATHWAY.html
BioCarta,BIOCARTA_CB1R_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CB1R_PATHWAY.html
BioCarta,BIOCARTA_CBL_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CBL_PATHWAY.html
BioCarta,BIOCARTA_CCR3_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CCR3_PATHWAY.html
BioCarta,BIOCARTA_CCR5_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CCR5_PATHWAY.html
BioCarta,BIOCARTA_CD40_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CD40_PATHWAY.html
BioCarta,BIOCARTA_CDC25_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CDC25_PATHWAY.html
BioCarta,BIOCARTA_CDC42RAC_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CDC42RAC_PATHWAY.html
BioCarta,BIOCARTA_CDK5_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CDK5_PATHWAY.html
BioCarta,BIOCARTA_CDMAC_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CDMAC_PATHWAY.html
